"""%s"" contains not only digit characters.","""%s"" 包含数字以外的字符"
"""%s"" does not fit the entered date format.","""%s"" 不符合输入的日期格式"
"""%s"" exceeds the allowed file size.","""%s"" 超过允许的档案大小"
"""%s"" exceeds the allowed length.","""%s"" 超过允许的长度"
"""%s"" has not only alphabetic and digit characters.","""%s"" 包含英文与数字外的字符"
"""%s"" has not only alphabetic characters.","""%s"" 包含拼音以外的字符"
"""%s"" height exceeds allowed value of %s px.","""%s"" 高度超过允许的数值 %s px"
"""%s"" invalid type entered.","""%s"" 输入的类型有误"
"""%s"" is a required value.","""%s"" 是必填数值"
"""%s"" is an empty string.","""%s"" 是一个空字符串"
"""%s"" is not a valid URL.","""%s"" 不是正确的网址"
"""%s"" is not a valid date.","""%s"" 不是正确的日期"
"""%s"" is not a valid email address.","""%s"" 不是正确的信箱"
"""%s"" is not a valid file","""%s""不是一个正确的档案"
"""%s"" is not a valid file extension.","""%s"" 不是一个正确的扩展名"
"""%s"" is not a valid file.","""%s"" 不是一个正确的档案"
"""%s"" is not a valid hostname.","""%s"" 不是一个正确的主机名"
"""%s"" is not a valid image format","""%s""不是一个正确的图像格式"
"""%s"" length must be equal or greater than %s characters.","""%s"" 长度必须大于或等于 %s 字符"
"""%s"" length must be equal or less than %s characters.","""%s"" 长度必须小于或等于 %s 字符
"""%s"" width exceeds allowed value of %s px.","""%s"" 宽度超过限制的 %s px"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","""%value%"" 似乎是一个 DNS 主机名，但无法提取 TLD 部分"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","""%value%"" 似乎是一个 DNS 主机名，但无法与已知列表匹配 TLD"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","""%value%"" 似乎是一个 DNS 主机名，但无法与 TLD ""%tld%"" 的主机名模式相匹配。"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","""%value%"" 似乎是一个 DNS 主机名，但在错误位置包含破折号"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' 似乎是 DNS 主机名，但无法对指定的 Punycode符号译码"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' 似乎是本地网络名称，此处不能使用本地网络名称"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' 似乎是 IP 地址，此处不能使用 IP 地址"
"'%value%' does not appear to be a valid URI hostname","'%value%' 似乎不是正确的 URI 主机名"
"'%value%' does not appear to be a valid local network name","'%value%' 似乎不是正确的本地网络名"
