"A block identifier with the same properties already exists in the selected store.","块识别符号已在选定的保存中存在相同的属性"
"A directory with the same name already exists. Please try another folder name.","相同名称的目录已经存在。请另外尝试"
"A page URL key for specified store already exists.","指定的商店的网址代码已经存在"
"Action","操作"
"Add New Block","新增区块"
"Add New Page","新增页面"
"All Countries","所有国家"
"An error occurred while saving the page.","保存页面时发生错误"
"Anchor Custom Text","自锚点文字"
"Anchor Custom Title","锚点自定义标题"
"Are you sure you want to delete current folder?","您确定要删除目前文件夹?"
"Are you sure you want to delete the selected file?","您确定要删除选定的档案?"
"Block","区块"
"Block Information","区块信息"
"Block Title","区块标题"
"CMS","静态网页"
"CMS Content Wrapper","CMS 内容包装"
"CMS Home Page","CMS 首页"
"CMS No Cookies Page","CMS 不支援Cookie页面"
"CMS No Route Page","CMS 缺失页面"
"CMS No-Route Page","CMS No-Route 页面"
"CMS Page","CMS 页"
"CMS Page Link","CMS 页面连结"
"CMS Page Link Block Template","CMS 页面连结块样板"
"CMS Page Link Inline Template","CMS 页面文内样板"
"CMS Pages (All)","CMS 页面 (所有)"
"CMS Static Block","CMS 静态区块"
"CMS Static Block Default Template","CMS 静态区块默认样板"
"Cannot create new directory.","不能建立新目录"
"Cannot delete directory %s.","无法删除目录 %s"
"Cannot delete root directory %s.","不能删除根目录 %s"
"Cannot upload file.","不能上传档案"
"Collapse All","关闭所有"
"Content","内容"
"Content Heading","标题内容"
"Content Management","静态网页管理"
"Contents of a Static Block","内容静态区块"
"Create Folder...","建立文件夹.."
"Custom Design","自定义设计"
"Custom Design From","自定义设计窗体"
"Custom Design To","自定义设计到"
"Custom Layout","自定义版面"
"Custom Layout Update XML","更新自定义XML版面"
"Custom Theme","自定义主题"
"Customer Tax Class Information","自定义税率信息"
"Date Created","建立日期"
"Delete Block","删除区块"
"Delete File","删除档案"
"Delete Folder","删除文件夹"
"Delete Page","删除页面"
"Description","描述"
"Design","设计"
"Disabled","关闭"
"Disabled Completely","彻底停用"
"Disabled by Default","预设情况下停用"
"Edit Block","编辑区块"
"Edit Block '%s'","编辑区块'%s'"
"Edit Page","编辑页面"
"Edit Page '%s'","编辑页面'%s'"
"Enable WYSIWYG Editor","开启所见即所得编辑器"
"Enabled","开启"
"Enabled by Default","预设情况下开启"
"Expand All","全部展开"
"General Information","一般信息"
"Go to Home Page","转到首页"
"Home","首页"
"ID","编号"
"Identifier","识别符号"
"If empty, the Page Title will be used","如果空白，会使用页面标题"
"Images (%s)","图片(%s)个"
"Insert File","插入档案"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","错误的文件夹名. 请使用字母和数字, 底线和破折号"
"Keywords","关键词"
"Last Modified","最后编辑"
"Layout","版面"
"Layout Update XML","版面更新XML"
"Link to a CMS Page","连结到一个CMS页面"
"Manage Pages","管理页面"
"Media Gallery","媒体库"
"Media Storage","多媒体保存"
"Meta Data","后设资料"
"Meta Description","后设描述"
"Meta Keywords","后设关键词"
"New Block","新区块"
"New Folder Name:","新文件夹名:"
"New Page","新页面"
"No files found","没有找到文件夹"
"Page Information","页面信息"
"Page Layout","页面版面"
"Page Status","页面状态"
"Page Title","页面标题"
"Pages","页面"
"Product Tax Class Information","产品税率信息"
"Redirect to CMS-page if Cookies are Disabled","如果快取无法使用，引导到CMS-页"
"Relative to Website Base URL","相对于网站基础网址"
"Save Block","保存区块"
"Save Page","保存页面"
"Save Process","保存操作"
"Select Block...","选择区块.."
"Select Page...","选择网页.."
"Show Breadcrumbs for CMS Pages","在内容页显示树状链接"
"Show Notice if JavaScript is Disabled","如果 JavaScript 停用显示提示"
"Static Blocks","静态区块"
"Status","状态"
"Storage Root","保存目录"
"Store View","商店前台"
"Template","样板"
"The block has been deleted.","区块删除了"
"The block has been saved.","区块保存了"
"The directory %s is not writable by server.","网页服务器无法写入文件夹 %s"
"The page URL key cannot consist only of numbers.","页面网址代码不能够只使用数字"
"The page URL key contains capital letters or disallowed symbols.","页面网址代码包含大写字母或是禁用的符号"
"The page has been deleted.","页面已经删除"
"The page has been saved.","页面已经保存"
"The static block content cannot contain  directive with its self.","静态区块内容本身不能包含指令"
"This block no longer exists.","这个区块已经不存在"
"This page no longer exists.","这个页面已经不存在"
"Title","标题"
"URL Key","网址代码"
"Unable to find a block to delete.","找不到要删除的区块"
"Unable to find a page to delete.","找不到要删除的页面"
"WYSIWYG Options","编辑器选项"
"px.","px"
