"%s was added to your shopping cart.","%s 已经加入到购物车"
"%s was updated in your shopping cart.","%s 更新到您的购物车"
"* Required Fields","* 必填字段"
"Add New Address","新增地址"
"Add New Condition","新增条款"
"Add coupon code for shopping cart","增加优惠券代码到购物车"
"Add gift messages to shopping cart","新增礼物讯息到购物车"
"Add product to shopping cart","增加产品到购物车"
"Add product(s) to shopping cart","增加产品到购物车"
"Add to Cart","加入购物车"
"Add to Compare","加入比较"
"Add to Wishlist","加入待购清单"
"Additional Product Info","附加产品信息"
"Address","地址"
"Address %s of %s","第%s个地址，共%s个"
"After Adding a Product Redirect to Shopping Cart","加入产品后转到购物车"
"Allow Guest Checkout","允许访客结账"
"Already registered?","已注册？"
"An error occurred in the process of payment","付款过程发生错误"
"An error occurred while deleting this condition.","删除条款时出错"
"An error occurred while saving this condition.","保存条款时出错"
"Apply Coupon","使用优惠券"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除这个产品吗？"
"Back","返回"
"Back to Billing Information","返回账单信息"
"Back to Select Addresses","返回选择地址"
"Back to Shipping Information","返回配送信息"
"Back to Shopping Cart","返回购物车"
"Based on your selection, you may be interested in the following items:","基于您的选择，您也许对以下产品感兴趣："
"Billing Address","账单地址"
"Billing Information","账单信息"
"Billing Information - %s","账单信息 - %s"
"Cancel Coupon","取消优惠券"
"Cannot add item to the shopping cart.","无法增加产品到购物车"
"Cannot add the item to shopping cart","无法增加产品到购物车"
"Cannot add the item to shopping cart.","无法增加产品到购物车"
"Cannot apply the coupon code.","无法使用优惠券代码"
"Cannot configure product.","无法客制化产品"
"Cannot open the overview page","无法打开概述页面"
"Cannot process the item.","无法处理该产品"
"Cannot remove the item.","无法删除这个产品"
"Cannot update shopping cart.","无法更新购物车"
"Cannot update the item.","无法更新产品"
"Card Verification Number Visual Reference","信用卡校验码可视参照"
"Cart Product API","购物车产品 API"
"Cart Subtotal:","购物车小计："
"Change","编辑"
"Change Billing Address","编辑账单地址"
"Checkbox Text","选框提示文字"
"Checkout","结账"
"Checkout Conditions","购买条款"
"Checkout Method","结账方法"
"Checkout Options","结账选项"
"Checkout Progress Wrapper","结账程序外观"
"Checkout Section","结账区"
"Checkout Terms and Conditions","购买条款"
