"%s is not supported currency.","%s是不支持货币 "
"Basic","基本的 "
"Enable foreign exchange rate","开启外汇汇率 "
"Enable global address verification","开启全球地址校验 "
"Enable US address verification","开启美国地址校验 "
"Enable email verification","开启信件校验 "
"Enable sales and use tax","开启销售和使用税 "
"Foreign Exchange Rates","外汇汇率 "
"There is no more hits remaining for the foreign Exchange Rate Service.","外汇汇率服务无访问 "
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","如果类型完整并且邮政编码属于多个税率，选择使用最低税率或最高税率。 "
"Customer Tax Class","客户税别 "
"Complete","完成 "
"Password","密码 "
"Pop up warning and accept","弹出警告并接受 "
"Use","使用 "
"Verify address in admin","在控制面板校验地址 "
"Verify email in admin","在控制台校验信件 "
"Error address action","地址操作出错 "
"Product Tax Class","产品税别 "
"Global Address Verification","全球地址校验 "
"Country/Region/Postal code combination","国家/区域/邮政编码组合"
"Tax","税 "
"US Address Verification","美国地址校验 "
"User ID","使用者ID "
"There is an error in retrieving tax rate. Please contact us","取得税率时出错，请联络我们 "
"Error Email Sender","信件寄件人错误 "
"Invalid email address","信箱有误 "
"Email Verification","信件校验 "
"Error Email Template","信件样板错误 "
"Undetermined email action","信件操作未完成 "
"Error Email Recipient","信件收件人错误 "
"Sales and Use Tax","销售和使用税 "
"Sales and Use Tax Type","销售和使用税别 "
"Strikeiron","Strikeiron "
"Strikeiron Section","Strikeiron 区 "
"Strikeiron foreign exchange rate is disabled","Strikeiron 外汇汇率不可用 "
"Strikeiron Config","Strikeiron 设定 "
"There is no response back from Strikeiron server","Strikeiron服务器无返回讯息 "
"Accept","接受 "
"There is an error in verifying an email. Please contact us.","校验信箱时出错，请联络我们 "
"Check all email servers","检查所有信件服务器 "
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","未检测到信箱。请检查确认信箱输入正确。 "
"Minimum tax rate","最低税率 "
"Maximum tax rate","最高税率 "
"Cannot retreive rate from strikeirion.","无法从strikeirion取得税率 "
"Cannot retrieve rate from %s to %s","无法取得从 %s 到 %s的税率 "
"Reject","拒绝 "
