"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s""是不是在请求的数量提供。%s的项目将被延期交货"
"%s is available for purchase in increments of %s only.","%s报价在%s递增时"
"%s is not a correct comparsion method.","%s不是一个正确的比较方法"
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>请注意</strong>，这些设定仅使用于购物车里某一行产品，而不是整个购物车"
"Add Minimum Qty","新增最小数量"
"Allow Qty Below 0","允许库存数量低于0"
"Allow Qty Below 0 and Notify Customer","允许库存数量低于0并提醒客户"
"Automatically Return Credit Memo Item to Stock","自动还原折让单品项到库存"
"Backorders","延期交货"
"By Fixed value","根据固定价格"
"By Percentage","根据百分比"
"Cannot specify product identifier for the order item.","无法指定订购产品的标识"
"Catalog Inventory","目录库存"
"Decrease Stock When Order is Placed","产生订单后减少库存"
"Display Out of Stock Products","显示无库存的产品"
"Display products availability in stock in the frontend","在前台显示产品有库存"
"Enable Qty Increments","开启数量递增"
"In Stock","有库存"
"Index Product Stock Status","索引产品库存状态"
"Inventory","库存"
"Inventory API","库存 API"
"Inventory Section","库存区"
"Manage Stock","管理库存"
"Maximum Qty Allowed in Shopping Cart","购物车中最多产品数量"
"Minimum Qty","最少产品数量"
"Minimum Qty Allowed in Shopping Cart","购物车中最少产品数量"
"Multi update product stock data","更新多笔产品库存数据"
"No Backorders","不允许延期交货"
"Not all products are available in the requested quantity","并非所有产品有可用到的数量"
"Notify for Quantity Below","需要提醒的最少数量"
"Only X left Threshold","安全存量"
"Out of Stock","缺货"
"Product Stock Options","产品库存选项"
"Products will still be shown by direct product URLs.","产品仍然会透过直接产品网址显示"
"Qty Increments","数量递增"
"Qty for Item's Status to Become Out of Stock","决定产品状态变成缺货的数量"
"Retrieve stock data","取得库存资料"
"Retrieve stock data by product ids","根据产品编号(id)获得库存资料"
"Rule price","价格规则"
"Set Items' Status to be In Stock When Order is Cancelled","订单取消时将相关产品状态重置为“有库存”"
"Some of the products are currently out of stock.","部份产品目前缺货"
"Some of the products cannot be ordered in requested quantity.","部分产品无法按照要求的数量订购"
"Some of the products cannot be ordered in the requested quantity.","部分产品无法按照要求的数量订购"
"Stock Options","库存选项"
"Stock Status","库存状态"
"The maximum quantity allowed for purchase is %s.","最大允许购买数量为 %s"
"The minimum quantity allowed for purchase is %s.","最低允许购买数量为 %s"
"The requested quantity for ""%s"" is not available.","订购""%s""的数量没有库存"
"The stock item for Product in option is not valid.","指定产品的库存记录不存在"
"The stock item for Product is not valid.","产品库存记录不存在"
"This product is available for purchase in increments of %s only.","此产品没有可用到的数量. %s 将延期交货"
"This product is currently out of stock.","此产品目前库存不足"
"This product is not available in the requested quantity. %s of the items will be backordered.","此产品没有可用到的数量。%s 将延期交货"
"To Fixed Value","为固定值"
"To Percentage","为百分比"
"Undefined product type.","产品类型尚尚未定义"
"Update","更新"
"Update product stock data","更新产品库存数据"
"Update the Product","更新产品"
