"Active","开启"
"Add Attribute Mapping","新增属性对应"
"Add New Attribute","新增属性"
"Add to Google Base","加入 Google Base"
"Are you sure?","您确定吗？"
"Attribute","属性"
"Attribute Set","属性集合"
"Attribute Set and Item Type","属性集合和产品类型"
"Attributes","属性"
"Attributes Mapping","属性对应"
"Attributes Set","属性集合"
"AuthSub","AuthSub"
"Available Products","有库存产品"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","应在系统配置中将基本货币设置为 %s 的 %s，否则产品价格在Google Base中将不准确。"
"Cannot update Google Base Item for Store '%s'","商店 '%s' 无法更新 Google Base 品项"
"Captcha confirmation error: %s","Captcha 确认出错： %s"
"Captcha has been confirmed.","验证码已确认。"
"Catalog","分类"
"Clicks","点选"
"ClientLogin","客户登入"
"Confirm","确认"
"Current Mapping will be reloaded. Continue?","将加载目前对应。要继续吗？"
"Custom attribute, no mapping","自定义属性，无对应"
"Delete","删除"
"Delete Mapping","删除对应"
"Edit Item Type","编辑产品类型"
"Edit Item Type ""%s""","编辑产品类型 ""%s"""
"Error: %s","错误： %s"
"Expires","期满"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google Base 属性"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base 产品类型"
"Google Base Item type","Google Base 产品类型"
"Google Base Items","Google Base 产品"
"Google base","Google 基本"
"Hide","隐藏"
"Hosted","已托管"
"Hosted or Google","托管或 Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Google Base 产品型号有误"
"Item Type was deleted","产品类型已删除"
"Item Types","产品类型"
"Item model is not specified to delete Google Base entry.","未指定要删除 Google Base 数据的项目型号。"
"Items","产品"
"Manage Attribute Mapping","管理属性对应"
"Manage Attributes","管理属性"
"Manage Items","管理产品"
"New Item Type","新产品类型"
"New ItemType","新的项目类型"
"No","否"
"No items were deleted from Google Base","没有产品从Google Base删除"
"No items were published","无产品发布"
"No items were saved as inactive items","没有将内容保存为不活跃内容"
"No products were added to Google Base","无产品加入 Google Base"
"Object model is not specified to save Google Base entry.","对象模型未指定保存到Google Base项。"
"Please, select Attribute Set and Google Item Type to load attributes","请选择属性集合和Google产品类型加载属性"
"Product Name","产品名称"
"Publish","发布"
"Published","已发布"
"Remove","删除"
"Save Mapping","保存对应"
"Session expired during export. Please revise exported products and repeat the process if necessary.","汇出过程中会话过期。请修订导出的产品，并在有必要时重复该操作。"
"Synchronize","同步"
"Target Country","目标国家"
"The item type has been saved.","该项目类型已保存。"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","该操作将更新Google Base中的产品统计并删除停用产品。要继续吗？"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","总共 %d 个内容被删除，共 %d 个内容被更新。"
"Total of %d items(s) have been published.","共 %d 个内容被发布。"
"Total of %d items(s) have been removed from Google Base.","共 %d 个内容被从Google Base删除。"
"Total of %d items(s) have been saved as inactive items.","共 %d 个内容被保存为不活跃内容。"
"Total of %d product(s) have been added to Google Base.","共 %d 个产品被加入Google Base。"
"Unable to connect to Google Base. Please, check Account settings in configuration.","无法连结Google Base。请在配置中检查账号设定。"
"Unable to select a Store View.","无法选择店铺视图。"
"View Available Products","查看可用产品"
"View Item in Google Base","在Google Base查看产品"
"Yes","是"
