"Action","操作"
"An error occurred while creating the backup.","建立备份时发生错误"
"An error occurred while writing to the backup file ""%s"".","无法读写备份文件""%s"""
"Are you sure you want to delete the selected backup(s)?","您确定要删除选择的备份？"
"Backup Type","备份类型"
"Backup file ""%s"" cannot be read from or written to.","备份文件 ""%s"" 无法读出或写入"
"Backup file ""%s"" does not exist.","备份文件""%s""不存在"
"Backup file does not exist.","备份文件不存在"
"Backup file handler was unspecified.","未指定备份文件句柄"
"Backup file not found","找不到备份文件"
"Backup file path was not specified.","未指定备份文件路径"
"Backups","备份"
"Cannot read backup file.","无法读取备份文件"
"Create Backup","产生备份"
"Database","数据库"
"Database Backup","数据库备份"
"Database and Media","数据库与媒体"
"Database and Media Backup","数据库与媒体备份"
"Database was successfuly backed up.","成功备份数据库"
"Download","下载"
"Enable Scheduled Backup","开启定期备份"
"Failed to connect to FTP","FTP 联机失败"
"Failed to delete one or several backups.","删除一或多个备份时失败"
"Failed to rollback","还原时失败"
"Failed to validate FTP","检查 FTP 时错误"
"Frequency","频率"
"Invalid Password.","密码有误"
"Maintenance Mode","维护模式"
"Name","名称"
"Not enough free space to create backup.","没有足够的空间来建立备份"
"Not enough permissions to create backup.","没有足够的权限来建立备份"
"Not enough permissions to perform rollback","没有足够的权限来执行还原"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","请取消勾选 ""将网站设定为维护模式"" 或是更新您的权限来进行备份"""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","请取消勾选 ""将网站设定为维护模式"" 或是更新您的权限来进行还原"""
"Put store on the maintenance mode while backup's creation","在建立备份时将网站设定为维护模式"
"Rollback","还原"
"Scheduled Backup Settings","定期备份设定"
"Size, Bytes","大小 / Bytes"
"Start Time","开始时间"
"System","系统"
"System (excluding Media)","系统 (排除媒体档案)"
"System Backup","系统备份"
"System couldn't put store on the maintenance mode","系统无法将网站设定为维护模式"
"The database and media backup has been created.","数据库与媒体文件备份已经建立"
"The database backup has been created.","数据库备份已经建立"
"The file was compressed with Zlib, but this extension is not installed on server.","档案用Zlib压缩，但是服务器上没有安装这个模块"
"The selected backup(s) has been deleted.","选择的备份已经删除"
"The system (excluding Media) backup has been created.","系统（除了媒体文件）备份已经建立"
"The system backup has been created.","系统备份已经建立"
"Time","时间"
"Type","类型"
"Unable to create backup. Please, try again later.","无法产生备份，请稍后重试"
"Unable to save the cron expression.","无法保存 cron 描述"
"Wrong order of creation for new backup.","产生新的备份次序错误"
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","您没有足够的权限在执行这个操作时开启维护模式"
