"%s Index process is working now. Please try run this process later.","%s 索引程序进行中，请稍后再执行"
"%s index was rebuilt.","%s 索引已经重建"
"'%s' Index Process Information","'%s' 索引程序信息"
"Action","行为"
"Cannot initialize the indexer process.","不能初始化索引程序"
"Change Index Mode","改变索引模式"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","点选这里到 <a href=""%s"">快取管理</a> 来更新快取类型"
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","点选这里到 <a href=""%s"">索引管理</a>重建索引"
"Delete","删除"
"Description","描述"
"Disable","停用"
"Enable","启动"
"General","普通"
"Index","索引"
"Index Description","索引描述"
"Index Management","索引管理"
"Index Mode","索引模式"
"Index Name","索引名"
"Index mode","索引模式"
"Indexer code is not defined.","索引器的代码没有定义"
"Indexer model is not defined.","索引模式没有定义"
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","索引模块应该实做 Mage_Index_Model_Indexer_Abstract"
"Manual Update","手动编辑"
"Mode","模式"
"Never","从不"
"No","否"
"One or more of the Indexes are not up to date:","一或多个索引需要更新："
"Please select Index(es)","请选择一个或多个索引"
"Please select Indexes","请选择索引"
"Process Information","程序信息"
"Processing","程序"
"Ready","读取"
"Refresh","更新"
"Reindex Data","重建资料"
"Reindex Required","需要重建"
"Revoke","注销"
"Status","状态"
"System","系统"
"The index has been saved.","索引已经保存"
"There was a problem with reindexing process.","重建索引有问题"
"There was a problem with saving process.","保存程序有问题"
"Total of %d index(es) have changed index mode.","总共有 %d 个索引被更改模式"
"Total of %d index(es) have reindexed data.","总共有 %d 个索引被重建"
"Update Required","需要更新"
"Update on Save","保存更新"
"Updated At","更新日期"
"Yes","是"
