"Action","操作"
"Add Sitemap","新增网站地图"
"Always","一律"
"CMS Pages Options","CMS 页面选项"
"Categories Options","分类选项"
"Daily","每日"
"Edit Sitemap","编辑网站地图"
"Enabled","开启"
"Error Email Recipient","错误记录的信件收件人"
"Error Email Sender","错误记录的信件寄件人"
"Error Email Template","错误记录的信件样板"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","无法保存档案 ""%s""。请确保web 伺服器具有对目录""%s"" 的写入权限"
"Filename","文件名"
"Frequency","频率"
"Generate","产生"
"Generation Settings","基本设定"
"Google Sitemap","Google 网站地图"
"Hourly","每小时"
"ID","编号"
"Last Time Generated","最后产生时间"
"Link for Google","Google 连结"
"Monthly","每月"
"Never","从未"
"New Sitemap","建立网站地图"
"Path","路径"
"Please create the specified folder ""%s"" before saving the sitemap.","在保存网站地图之前请建立指定目录""%s"" ."
"Please define correct path","请定义正确的路径"
"Please make sure that ""%s"" is writable by web-server.","请确保web 伺服器具有对""%s"" 的写入权限。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","档案命名时请只使用字母(az 或AZ), 数字(0-9) 或者下划线(_) 。不允许空格或者其他字符。"
"Priority","优先级"
"Products Options","产品选项"
"Sitemap","网站地图"
"Sitemap generate Warnings","产生网站地图时的警告"
"Start Time","开始时间"
"Store View","商店界面"
"The priority must be between 0 and 1.","优先级必须为 0 到 1 之间"
"The sitemap ""%s"" has been generated.","网站地图 ""%s"" 产产生功"
"The sitemap has been deleted.","删除网站地图"
"The sitemap has been saved.","保存网站地图"
"This sitemap no longer exists.","本网站地图不存在"
"Unable to find a sitemap to delete.","找不到要删除的网站地图"
"Unable to find a sitemap to generate.","找不到要产生的网站地图"
"Unable to generate the sitemap.","无法产生网站地图"
"Valid values range: from 0.0 to 1.0.","取值范围从 0.0 到 1.0"
"Weekly","每周"
"Yearly","每年"
