"Add","新增"
"Add gift message for shopping cart","为购物车新增礼品消息"
"Add gift messages for quote item of shopping cart","为购物车中的报价项目新增礼品消息"
"Add gift messages to products of shopping cart","新增礼品消息到购物车中的产品"
"Add gift options","增加礼物选项"
"Add gift options for Individual Items","为单独项目增加礼物选项"
"Add gift options for the Entire Order","为全部订单增加礼物选项"
"Add gift options.","增加礼物选项"
"Allow Gift Messages for Order Items","允许单个产品的礼物留言"
"Allow Gift Messages on Order Level","允许整个订单的礼物留言"
"An error occurred while saving the gift message.","保存礼物讯息时发生错误"
"Are you sure?","您确认吗？"
"Cancel","取消"
"Do you have any gift items in your order?","您的订单中有要送人的礼物吗？"
"Edit","编辑"
"From","来自"
"Gift Message","礼物留言"
"Gift Message API","礼品消息 API"
"Gift Options","礼物选项"
"Gift Options for","礼物选项"
"Gift Options for Individual Items","单独项目的礼物选项"
"Gift Options for the Entire Order.","全部订单的礼物选项"
"Gift Options for this address.","该地址的礼物选项"
"Item %d of %d","第%d件，共%d件"
"Message","留言"
"No","否"
"OK","确定"
"Save Gift Message","保存礼物留言"
"The gift message has been removed","礼物留言已经删除"
"The gift message has been saved","礼物留言已经保存"
"The gift message has been saved.","礼物留言已经保存"
"To","给"
"Unknown entity type","未知实体类型"
"Use config","使用设定"
"Yes","是"
"You can leave this box blank if you do not wish to add a gift message for the item.","如果您不想给这个产品增加礼物留言，请空白"
"You can leave this box blank if you do not wish to add a gift message for this address.","如果您不想给该地址增加礼物留言，请空白"
"You can leave this box blank if you do not wish to add a gift message for whole order.","如果您不想给该订单增加礼物留言，请空白"
