"%s - Discounts and Coupons","%s - 折扣和优惠券"
"%s - Special Products","%s - 特价"
"%s RSS Feed","%s RSS 订阅"
"%s has reached a quantity of %s.","%s的数量为%s"
"%s\'s Wishlist","%s的待购清单"
"Cannot retrieve the wishlist","无法读取待购清单"
"Catalog","目录"
"Category Feeds","目录订阅"
"Click for price","单击获取价格"
"Comment: %s<br/>","评论：%s<br/>"
"Coupons/Discounts","优惠券/折扣"
"Current Status: %s<br/>","目前状态：%s<br/>"
"Customer Name: %s","客户名称：%s"
"Customer Order Status Notification","客户订单状态通知"
"Details for %s #%s","%s 编号%s 的详情"
"Discount","折扣"
"Discount (%s)","折扣 (%s)"
"Enable RSS","开启 RSS"
"Error in processing xml. %s","处理 xml. %s 出错"
"From:","从："
"Get Feed","取得 Feed"
"Gift Message","礼物留言"
"Grand Total","总计"
"Low Stock Products","低库存产品"
"Message:","留言:"
"Miscellaneous Feeds","杂项订阅"
"New Orders","新订单"
"New Products","新产品"
"New Products from %s","来自%s的新产品"
"Notified Date: %s<br/>","通知日期：%s<br/>"
"Order # %s Notification(s)","订单 %s 通知"
"Order #%s created at %s","订单编号 %s 订购日期 %s"
"Pending product review(s)","待核产品评论"
"Product: ""%s"" review By: %s","产品：""%s"" 评论人：%s"
"Product: <a href=""%s"">%s</a> <br/>","产品：<a href=""%s"">%s</a> <br/>"
"Products tagged with %s","产品标记为%s"
"Purchased From: %s","购自：%s"
"RSS","RSS"
"RSS Feeds","RSS 订阅"
"RSS Feeds List","RSS 订阅列表"
"RSS Feeds Section","RSS订阅组"
"Review: %s <br/>","评论：%s <br/>"
"Rss Config","RSS 设定"
"Shipping &amp; Handling","配送 &amp; 处理"
"Special Products","特价产品"
"Store: %s <br/>","商店：%s <br/>"
"Subtotal","小计"
"Summary of review: %s <br/>","评论：%s <br/>"
"Tags Products","标记产品"
"Tax","税"
"There are no Rss Feeds","没有 Rss 订阅记录"
"To:","发给:"
"Top Level Category","顶级分类"
"Total: %s<br/>","总计: %s<br/>"
"Wishlist","待购清单"
"click <a href=""%s"">here</a> to view the review","点<a href=""%s"">这里</a>查看评论"
