"""Remember Me"" Default Value","""记住我"" 默认值"
"(Not %s?)","(不是 %s ？)"
"* Required Fields","* 必填字段"
"Address","住址"
"Address Information","住址信息"
"Already registered?","已经注册？"
"Back","返回"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","在我们这里建立一个账号，您就能够加快结账的速度、保存多个收件住址、在线检视与追踪您的订单等"
"Cannot load configuration from file %s.","无法从档案 %s 加载设定"
"Checkout as Guest","以访客身份结账"
"Checkout as a Guest or Register","以访客身份结账，或是注册会员"
"City","乡镇市区"
"Clear Persistence on Log Out","注销时清除联机数据"
"Close","关闭"
"Company","公司"
"Confirm Password","确认密码"
"Continue","继续"
"Country","国家"
"Create an Account","建立一个账号"
"Easy access to your order history and status","快速存取您的订购记录与状态"
"Email Address","电子信箱"
"Enable ""Remember Me""","开启 ""记住我"""
"Enable Persistence","开启保留联机功能"
"Fast and easy check out","快速与轻易的结账"
"Fax","传真"
"Forgot Your Password?","忘记密码？"
"Forgot your password?","忘记密码？"
"General Options","一般选项"
"If you have an account with us, please log in.","如果您已经注册，请先登入"
"Loading next step...","载入下一步中.."
"Login","登入"
"Login Information","登入信息"
"Login or Create an Account","登入或建立账号"
"New Customers","新客户"
"Password","密码"
"Persist Shopping Cart","保留购物车"
"Persistence Lifetime (seconds)","保留时间（秒）"
"Persistent Shopping Cart","保留购物车"
"Personal Information","个人信息"
"Please log in below:","请透过下面登入："
"Please select region, state or province","请选择县市"
"Register","注册"
"Register and save time!","注册就能够节省时间！"
"Register to Create an Account","注册一个新账号"
"Register with us for future convenience:","注册后未来会比较方便："
"Registered Customers","已经注册的客户"
"Remember Me","记住我"
"Save in address book","保存通讯簿"
"Select State/Province...","选择县市.."
"Select a billing address from your address book or enter a new address.","从通讯簿选择一个账单地址或是输入新住址"
"Ship to different address","配送到其他住址"
"Ship to this address","配送到这个住址"
"Shopping cart has been updated with appropriate prices","购物车已经更新为正确的价格"
"Sign Up for Newsletter","订阅电子报"
"State/Province","县市"
"Street Address","街道巷弄"
"Street Address %s","街道巷弄 %s"
"Submit","送出"
"Telephone","电话"
"To proceed to Checkout, please log in using your email address.","要继续结账前请先用您的电子信箱登入"
"VAT Number","VAT 编号"
"Welcome, %s!","欢迎 %s ！"
"What\'s this?","这是什么？"
"Zip/Postal Code","邮政编码"
