"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Rating","新增评分"
"Assigned Options","指定选项"
"Be the first to review this product","第一个给这个产品发表评论"
"Default Value","默认值"
"Delete Rating","删除评分"
"Edit Rating","编辑评分"
"ID","编号"
"If you do not specify a rating title for a store, the default value will be used.","如果没有给商店输入评分名称，将采用默认值"
"Manage Ratings","管理评分"
"New Rating","新的评分"
"Option Label","选项标记"
"Option Title","选项标题"
"Option Title:","选项标题："
"Please select one of each ratings above","请在上面选择一个评分"
"Rating Information","评分内容"
"Rating Name","评分名称"
"Rating Options","评分选项"
"Rating Title","评分标题"
"Rating Visibility","评分可见性"
"Rating isn't Available","评分不可见"
"Rating with the same title","评分标题重复"
"Save Rating","保存评分"
"Sort Order","排列顺序"
"Visible In","显示于"
