"3D Secure","3D安全"
"3D Secure Card Validation","3D安全卡验证"
"API Login ID","API 登入号"
"Accepted Currency","允许的货币"
"Allow Partial Authorization","允许部分授权"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","确认取消付款吗？点选<OK>取消付款并释放冻结的金额。点选<Cancel>输入另外的信用卡信息继续付款"
"Authorize Only","仅授权"
"Authorize and Capture","授权和接收"
"Authorize.Net Transaction ID %s","Authorize.Net交易号 %s"
"Authorize.net","Authorize.net"
"Cancel","取消"
"Centinel API URL","Centinel API URL"
"Credit Card Types","信用卡类型"
"Credit Card Verification","信用卡校验"
"Credit Card: xxxx-%s","信用卡： xxxx-%s"
"Debug","调试"
"Email Customer","发信件给客户"
"Enabled","打开"
"Error in payment gateway.","付款网关错误"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","由于付款网关不能完成交易，网关操作已被锁定。请登入您的Authorize.Net并手动解决此问题"
"Gateway error: %s","付款网关错误： %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","如果空白，将使用默认值。自定义URL可以被CardinalCommerce协议支持"
"Invalid amount for authorization.","授权金额有误"
"Invalid amount for capture.","扣款金额错误"
"Invalid amount for partial authorization.","部分授权金额错误"
"Invalid amount for refund.","退款金额错误"
"Invalid split tenderId ID.","Invalid split tenderId ID"
"Maximum Order Total","订单最大值"
"Merchant's Email","商户的电子信箱"
"Minimum Order Total","订单最小值"
"New Order Status","新订单状态"
"Parent Authorize.Net transaction (ID %s) expired","Parent Authorize.Net transaction (ID %s) expired"
"Payment Action","付款操作"
"Payment authorization error.","付款授权错误"
"Payment canceling error.","取消付款出错"
"Payment capturing error.","抓取付款出错"
"Payment from Applicable Countries","可以使用的国家"
"Payment from Specific Countries","指定可以使用的国家"
"Payment partial authorization error.","付款部分授权出错"
"Payment refunding error.","退款出错"
"Payment updating error.","Payment updating error"
"Payment voiding error.","付款无值化出错"
"Processed Amount","已完成的金额"
"Remaining Balance","未付余额"
"Severe 3D Secure Card Validation","严格3D安全卡验证"
"Severe Validation Removes Chargeback Liability on Merchant","确认以移除卖方的退款责任"
"Shopping cart contents and/or address has been changed.","购物车内容/地址已被更改"
"Sort Order","排序"
"Test Mode","测试模式"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","您的信用卡额度不足。可用的额度已被冻结。点选OK输入另外的信用卡号并完成购买。点选Cancel取消购买并释放冻结金额"
"There was an error canceling transactions. Please contact us or try again later.","取消转账出错。请联络我们或者稍后再试"
"Title","标题"
"Transaction Key","交易密匙"
"You have reached the maximum number of credit card allowed to be used for the payment.","您已达到完成本次付款操作所允许的最多信用卡数"
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released"
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method"
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents"
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released"
"amount %s","额度 %s"
"authorize","授权"
"authorize and capture","授权和获取"
"capture","获取"
"failed","失败"
"refund","退款"
"successful","成功"
"void","避免"
